entry_date,exit_date,entry_price,exit_price,quantity,direction,outcome,holding_days,pnl,trade_return
2024-06-13,2024-06-17,165.6008,169.884,100,Long,Profit target,2,428.31,0.02586
2024-07-18,2024-07-19,161.5628,164.8207,100,Short,Stop-loss,1,-325.79,-0.02016
2024-08-07,2024-08-22,173.3936,178.4616,100,Long,Profit target,11,506.8,0.02923
2024-08-23,2024-08-28,181.3046,177.5111,100,Long,Stop-loss,3,-379.35,-0.02092
2024-10-04,2024-10-29,180.2915,185.7227,100,Long,Profit target,17,543.12,0.03012
2024-10-30,2024-11-01,185.4702,190.2019,100,Long,Profit target,2,473.17,0.02551
2024-11-04,2024-11-05,192.2003,188.4089,100,Long,Stop-loss,1,-379.14,-0.01973
2024-11-25,2024-12-02,179.8805,184.1906,100,Short,Stop-loss,5,-431.01,-0.02396
2024-12-24,2024-12-31,173.958,177.8382,100,Short,Stop-loss,5,-388.02,-0.02231
2025-01-23,2025-02-14,172.4122,176.4116,100,Short,Stop-loss,16,-399.95,-0.0232
2025-02-20,2025-03-05,182.5124,178.9234,100,Long,Stop-loss,9,-358.9,-0.01966
2025-04-01,2025-04-23,185.6219,181.8778,100,Long,Stop-loss,16,-374.4,-0.02017
2025-05-02,2025-05-05,174.6548,178.695,100,Short,Stop-loss,1,-404.02,-0.02313
2025-06-03,2025-06-19,186.5695,182.324,100,Long,Stop-loss,12,-424.55,-0.02276
2025-06-24,2025-07-07,176.6897,180.9173,100,Short,Stop-loss,9,-422.76,-0.02393
2025-08-11,2025-08-12,173.2932,176.7858,100,Short,Stop-loss,1,-349.26,-0.02015
2025-08-19,2025-08-28,172.3888,176.2162,100,Short,Stop-loss,7,-382.75,-0.0222
2025-09-12,2025-09-16,168.2298,171.9118,100,Short,Stop-loss,2,-368.2,-0.02189
2025-10-06,2025-10-09,164.4301,168.0307,100,Short,Stop-loss,3,-360.06,-0.0219
2025-10-24,2025-10-27,162.7153,166.1051,100,Short,Stop-loss,1,-338.98,-0.02083
2025-12-15,2025-12-18,162.7982,157.842,100,Short,Profit target,3,495.62,0.03044
2025-12-19,2025-12-19,155.9391,159.5698,100,Short,Stop-loss,0,-363.07,-0.02328
2025-12-25,2025-12-29,155.161,158.687,100,Short,Stop-loss,2,-352.59,-0.02272
2026-01-28,2026-02-23,157.0182,152.0168,100,Short,Profit target,18,500.14,0.03185
2026-02-24,2026-02-25,151.1469,154.2536,100,Short,Stop-loss,1,-310.67,-0.02055
2026-03-04,2026-03-24,148.8037,152.0296,100,Short,Stop-loss,14,-322.59,-0.02168
2026-04-02,2026-04-06,144.085,147.3685,100,Short,Stop-loss,2,-328.35,-0.02279
